GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
Châlons-en-Champagne;081000;1;173+702;51e8926c-6665-11e3-afff-01f464e0362d;797051.7102999985;6876954.485100001;4.326038446525335;48.98518875856259;48.98518875856259, 4.326038446525335;48.9851887585412, 4.326038446525337;"{""coordinates"": [4.326038446525337, 48.9851887585412], ""type"": ""Point""}"
Pontivy;475000;1;540+600;51e256d8-6665-11e3-afff-01f464e0362d;259925.75379999727;6794559.114100002;-2.917753479569849;48.10292178647181;48.10292178647181, -2.917753479569849;48.10292178646123, -2.9177534795698534;"{""coordinates"": [-2.917753479569853, 48.10292178646123], ""type"": ""Point""}"
Bressuire;525000;1;116+409;51e9a4e0-6665-11e3-afff-01f464e0362d;428638.7176999971;6641806.753699999;-0.56061269408758;46.82133797254093;46.82133797254093, -0.5606126940875803;46.82133797252658, -0.5606126940875831;"{""coordinates"": [-0.560612694087583, 46.82133797252658], ""type"": ""Point""}"
L'Isle-d'Abeau;905621;1;001+600;cef5a3ea-dfb5-11e3-8eff-01a464e0362d;863877.9262000024;6507578.920299999;5.104273308146499;45.64810072772809;45.64810072772809, 5.104273308146499;45.64810072771033, 5.1042733081465;"{""coordinates"": [5.1042733081465, 45.64810072771033], ""type"": ""Point""}"
Neuilly-St-Front;072000;1;092+235;51e67c02-6665-11e3-afff-01f464e0362d;720286.6389999986;6898873.9695999995;3.278261129478905;49.189278380311684;49.189278380311684, 3.2782611294789046;49.189278380291306, 3.2782611294789046;"{""coordinates"": [3.278261129478905, 49.189278380291306], ""type"": ""Point""}"
St-Pierre-lès-Elbeuf;370000;1;087+364;51e600d2-6665-11e3-afff-01f464e0362d;557225.5700000003;6909328.090500001;1.038471074904601;49.267639029691914;49.267639029691914, 1.0384710749046007;49.2676390296719, 1.0384710749045991;"{""coordinates"": [1.038471074904599, 49.2676390296719], ""type"": ""Point""}"
Ambronay-Priay;883000;1;059+538;51e92722-6665-11e3-afff-01f464e0362d;880740.1221000031;6550159.106600001;5.336848612314443;46.02711026664885;46.02711026664885, 5.3368486123144425;46.02711026663217, 5.336848612314444;"{""coordinates"": [5.336848612314444, 46.02711026663217], ""type"": ""Point""}"
Ludres;039000;1;028+263;51e390e8-6665-11e3-afff-01f464e0362d;933940.9712999985;6838535.564300001;6.173863569533697;48.60470003066759;48.60470003066759, 6.1738635695336965;48.60470003064423, 6.173863569533698;"{""coordinates"": [6.173863569533698, 48.60470003064423], ""type"": ""Point""}"
Montereau;752321;1;000+494;51e9f226-6665-11e3-afff-01f464e0362d;698999.0367999971;6809568.3226;2.986479997928325;48.38641246340812;48.38641246340812, 2.9864799979283254;48.38641246338363, 2.9864799979283254;"{""coordinates"": [2.986479997928325, 48.38641246338363], ""type"": ""Point""}"
Portet-St-Simon;650000;1;009+655;51dfa72a-6665-11e3-afff-01f464e0362d;570738.2365999967;6272767.5123;1.401115251719172;43.54220006601034;43.54220006601034, 1.401115251719172;43.54220006598694, 1.4011152517191705;"{""coordinates"": [1.401115251719171, 43.54220006598694], ""type"": ""Point""}"
Malesherbes;747000;1;021+331;51e6f2f0-6665-11e3-afff-01f464e0362d;657749.0587000027;6797365.4188;2.430515486615485;48.275252023633826;48.275252023633826, 2.430515486615485;48.275252023623736, 2.4305154866154846;"{""coordinates"": [2.430515486615485, 48.275252023623736], ""type"": ""Point""}"
Thouars;525000;1;153+645;51dfd1b8-6665-11e3-afff-01f464e0362d;457161.0256000012;6658582.938000001;-0.195698076504423;46.98323047468404;46.98323047468404, -0.19569807650442317;46.98323047467016, -0.19569807650442597;"{""coordinates"": [-0.195698076504426, 46.98323047467016], ""type"": ""Point""}"
Feyzin;830000;1;519+192;51e868ce-6665-11e3-afff-01f464e0362d;844381.762000002;6511087.903099999;4.85508956241776;45.68408965335557;45.68408965335557, 4.85508956241776;45.684089653337914, 4.855089562417762;"{""coordinates"": [4.855089562417762, 45.684089653337914], ""type"": ""Point""}"
;420000;1;199+800;a06e64d6-3133-11ea-bdff-01c8b2273146;501284.0474999994;6772135.3847;0.334035594381573;48.019409243006876;48.019409243006876, 0.33403559438157315;48.01940924299604, 0.33403559438157115;"{""coordinates"": [0.334035594381571, 48.01940924299604], ""type"": ""Point""}"
Carquefou;457000;1;384+490;51e10c04-6665-11e3-afff-01f464e0362d;360411.4321999997;6695523.0174;-1.494193027123517;47.27302032072046;47.27302032072046, -1.4941930271235166;47.273020320707445, -1.4941930271235206;"{""coordinates"": [-1.494193027123521, 47.273020320707445], ""type"": ""Point""}"
Vieuvicq-Montigny;500000;1;117+428;51e6a434-6665-11e3-afff-01f464e0362d;566358.373999998;6798234.812899999;1.198708814807241;48.27072964865156;48.27072964865156, 1.1987088148072407;48.270729648641456, 1.1987088148072391;"{""coordinates"": [1.198708814807239, 48.270729648641456], ""type"": ""Point""}"
;851000;1;000+679;51f0bef4-6665-11e3-afff-01f464e0362d;893540.3059;6708674.158;5.568889799047843;47.450085430099136;47.450085430099136, 5.568889799047843;47.45008543008664, 5.568889799047845;"{""coordinates"": [5.568889799047845, 47.45008543008664], ""type"": ""Point""}"
